번호,기관명,주소,Latitude,Longitude,사무실 연락처,비상생리대비치여부
1,강동청소년센터_시립,서울특별시 강동구 아리수로93길 47,37.5665592,127.1737804,02-6252-1318,Y
2,강북청소년센터_시립,서울특별시 강북구 4.19로 74,37.6396099,127.0256575,02-6715-6611,Y
3,관악청소년센터,서울특별시 관악구 신림로23길 17,37.4701424,126.9352208,070-7815-9058,Y
4,광진청소년센터_시립,서울특별시 광진구 구천면로 2,37.5461603,127.1065423,02-2204-3121,Y
5,구로청소년센터_시립,서울특별시 구로구 구로동로 141,37.4912729,126.8833142,02-838-1318,Y
6,금천청소년센터_시립,서울특별시 금천구 금하로 30길 54,37.4483699,126.9155448,070-7006-8155,Y
7,노원청소년센터_시립,서울특별시 노원구 덕릉로 70길 99,37.6408968,127.0586079,02-950-3175,Y
8,동대문청소년센터_시립,서울특별시 동대문구 제기로33길 25,37.5872685,127.0499878,02-3295-1478,Y
9,마천청소년센터_구립,서울특별시 송파구 성내천로319,37.4923005,127.1566327,02-443-0100,Y
10,마포청소년센터_시립,서울특별시 마포구 월드컵로212,37.5663123,126.9020797,02-3153-5914,Y
11,망우청소년센터_시립,서울특별시 중랑구 송림길 156,37.6058844,127.1088479,02-6919-3302,Y
12,목동청소년센터_시립,서울특별시 양천구 목동서로143,37.5306952,126.8754462,02-2642-1318,Y
13,문래청소년센터_시립,서울특별시 영등포구 문래로 110,37.5188211,126.8940158,02-2167-0112,Y
14,보라매청소년센터_시립,"서울특별시 동작구 여의대방로20길 33, 보라매청소년수련관 큰나무동 1층 업무지원팀",37.4932342,126.9197115,02-834-6411,Y
15,삼성산청소년센터_사립,서울특별시 관악구 호암로 454-16,37.456689,126.9291554,02-887-6346,Y
16,서대문청소년센터_시립,서울특별시 서대문구 연희로32길 129,37.5789602,126.9382423,02-334-0080,Y
17,서울청소년센터_시립,서울특별시 중구 을지로11길 23,37.5674298,126.990542,070-4268-4343,Y
18,성동청소년센터_시립,서울특별시 성동구 고산자로 260,37.5630554,127.0367125,02-2296-4062,Y
19,성북청소년센터_시립,서울특별시 성북구 한천로 95길 7,37.6175705,127.0557338,02-3292-1318,Y
20,송파청소년센터_구립,"서울특별시 송파구 중대로 4길 4, 청소년수련시설 송파청소년수련관",37.4896609,127.1112312,02-2147-5353,Y
21,수서청소년센터_시립,서울특별시 강남구 광평로 144,37.4835336,127.0887371,02-2226-3611,Y
22,역삼청소년센터_구립,서울특별시 강남구 논현로64번길 7,37.4758533,127.0468595,02-550-3612,Y
23,은평청소년센터_시립,서울특별시 은평구 백련산로 4길 16,37.594149,126.9245242,070-7113-4929,Y
24,잠실청소년센터_구립,서울특별시 송파구 올림픽로 8길 22,37.5098332,127.0803538,02-2039-1530,Y
25,중구청소년센터_구립,서울특별시 중구 동호로5길19,37.5517795,127.0125774,02-2250-0510,Y
26,중랑청소년센터_시립,서울특별시 중랑구 용마산로 217,37.573171,127.0858392,02-490-0517,Y
27,창동청소년센터_시립,"서울특별시 도봉구 노해로 69길 132, 4층 ",37.6582713,127.0506149,02-950-9614,Y
28,화곡청소년센터_시립,서울특별시 강서구 곰달래로 57가길 26,37.5345734,126.8606077,070-7198-3253,Y
29,구로청소년문화의집,서울특별시 구로구 부일로 949,37.4933032,126.8304578,02-3666-9601,Y
30,도화청소년문화의집,서울특별시 마포구 도화2길 77,37.537561,126.9502024,070-4337-0644,Y
31,동작청소년문화의집,서울특별시 동작구 상도로 15바길 5,37.504021,126.9332514,070-5030-4447,Y
32,마포청소년문화의집,"서울특별시 마포구 상암산로1길 67,",37.5802974,126.8838494,02-303-2604,Y
33,사당청소년문화의집,서울특별시 동작구 사당로 23길 57-7,37.4862768,126.9739412,070-4365-5636,Y
34,상계청소년문화의집,서울특별시 노원구 동일로230길 6,37.6720259,127.0587691,070-4550-4242,Y
35,성동청소년문화의집,"서울특별시 성동구 장터1길 18,",37.5493239,127.0187017,02-2236-2678,Y
36,성북청소년문화의집,서울특별시 성북구 솔샘로 107,37.6121182,127.0068647,070-7710-2475,Y
37,쌍문동청소년문화의집,"서울특별시 도봉구 시루봉로2길 34,",37.6541919,127.0290879,02-908-0458,Y
38,영등포청소년문화의집,서울특별시 영등포구 영등포로64길 15,37.5135003,126.9170497,070-4448-8678,Y
39,용산꿈나무종합타운_용산청소년문화의집,서울특별시 용산구 백범로 329,37.5385513,126.9654268,070-4226-2773,Y
