"번호","구분","화장실명","소재지도로명주소","Latitude","Longitude","소재지지번주소","남녀공용화장실여부","남성용-대변기수","남성용-소변기수","남성용-장애인용대변기수","남성용-장애인용소변기수","남성용-어린이용대변기수","남성용-어린이용소변기수","여성용-대변기수","여성용-장애인용대변기수","여성용-어린이용대변기수","관리기관명","전화번호","개방시간","설치연월","WGS84위도","WGS84경도","화장실소유구분","화장실설치장소유형","오물처리방식","비상벨설치여부","비상벨설치장소","화장실입구CCTV설치유무","기저귀교환대유무","기저귀교환대장소","리모델링연월","데이터기준일자"
"3453","공중화장실","다락원체육공원","서울특별시 도봉구 창포원로 45, 다락원 체육공원 (도봉동)","37.6918821","127.0469367","서울특별시 도봉구 도봉동 8 다락원 체육공원","N","2","3","0","0","0","0","7","0","0","도봉구 공원녹지과","02-2091-3753","상시","","","","지방자치단체","관광·체육시설","수세식","Y","장애인화장실+여자화장실","N","Y","여자화장실","","2020-10-05"
"3489","공중화장실","서울창포원(관리소2층)","서울특별시 도봉구 마들로 916, 방문자센터 (도봉동)","37.6892727","127.0475814","서울특별시 도봉구 도봉동 4-1 방문자센터","N","1","1","0","0","0","0","3","0","0","북서울꿈의숲","02-954-0031","상시","2009-01","","","국가","기타","수세식","Y","여자화장실","N","Y","여자화장실","","2020-09-29"
"3490","공중화장실","서울창포원(관리소1층)","서울특별시 도봉구 마들로 916, 방문자센터 (도봉동)","37.6892727","127.0475814","서울특별시 도봉구 도봉동 4-1 방문자센터","N","2","2","1","1","0","0","9","1","0","북서울꿈의숲","02-954-0031","상시","2009-01","","","국가","기타","수세식","Y","장애인화장실+여자화장실","N","Y","여자화장실","","2020-09-29"
"3454","공중화장실","도봉산역(7) 지상1층 환승통로","서울특별시 도봉구 도봉로 964-40, 도봉산역7호선 (도봉동)","37.6890803","127.046509","서울특별시 도봉구 도봉동 38-3 도봉산역7호선","N","3","7","1","1","1","1","10","1","1","서울교통공사","02-6311-7101","상시","1996-01","","","국가","공공용시설","수세식","Y","여자화장실","Y","Y","남자화장실+여자화장실","","2020-09-29"
"3455","공중화장실","도봉산역(7)","서울특별시 도봉구 도봉로 964-40, 도봉산역7호선 (도봉동)","37.6890803","127.046509","서울특별시 도봉구 도봉동 38-3 도봉산역7호선","N","3","3","1","1","1","1","6","1","2","서울교통공사","02-6311-7101","상시","1996-01","","","국가","기타","수세식","Y","장애인화장실+여자화장실","Y","Y","남자화장실+여자화장실","","2020-09-28"
"3463","공중화장실","도봉산입구 공중화장실","서울특별시 도봉구 도봉산4가길 10 (도봉동)","37.6882096","127.0415802","서울특별시 도봉구 도봉동 282-23","N","4","6","1","1","1","1","6","1","1","도봉구청 자원순환과","02-2091-3254","상시","","","","지방자치단체","공공용시설","수세식","Y","여자화장실","Y","Y","여자화장실","","2020-09-25"
"2361","공중화장실","복지노원충전소 개방화장실","서울 노원구 동일로 1778 (상계동)","37.6868658","127.0558333","","N","2","2","0","0","0","0","2","0","0","노원구청 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2360","공중화장실","수락산 주유소 개방화장실","서울 노원구 동일로 1772 (상계동)","37.6866099","127.0558354","","N","1","2","0","0","0","0","2","0","0","노원구청 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"3443","공중화장실","무수골도서관 화장실","서울특별시 도봉구 도봉로175길 7-10 (도봉동)","37.682279","127.0426859","서울특별시 도봉구 도봉동 578-12","N","1","2","0","0","1","1","3","0","1","도봉구 문화체육과","02-3492-0078","09:00-18:00","","","","지방자치단체","기타","수세식","N","없음","Y","N","없음","","2020-10-05"
"2366","공중화장실","마들역 화장실","서울 노원구 동일로 지하 1530-1 (상계동, 마들역)","37.6821296","127.0771788","","N","4","7","0","0","1","0","9","0","0","서울교통공사","","정시","","","","공공기관","교통시설","수세식","N","없음","N","Y","여자화장실","","2022-08-17"
"3465","공중화장실","중랑천변1 공중화장실","서울특별시 도봉구 도봉로180길 6-119, 삼환도봉아파트 (도봉동)","37.6809076","127.0486883","서울특별시 도봉구 도봉동 87 삼환도봉아파트","N","1","2","0","0","0","0","2","0","0","도봉구청 물관리과","02-2091-4117","상시","","","","지방자치단체","공공용시설","수세식","Y","여자화장실","N","N","없음","","2020-09-25"
"2359","공중화장실","상계1동 주민센터 공중화장실","서울 노원구 동일로 1697 (상계동, 상계1동주민센터)","37.6798557","127.054931","","N","2","3","0","0","0","0","2","0","0","상계1동 주민센터","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
"2381","공중화장실","수락산 공중화장실","서울 노원구 동일로250길 44-102 (상계동, 수락산공원관리실)","37.677881","127.055293","","N","2","3","1","0","0","0","4","1","0","노원구청 자원순환과","","정시","","","","지방자치단체","공공용시설","수세식","N","없음","N","N","없음","","2022-08-17"
